Type, Id paq, time stamp segundos, micro, long paq 
S, 0, 1615883011, 235267, 9
R, 1, 1615883011 , 252777, 4 
S, 1, 1615883011, 985742, 9
R, 2, 1615883012 , 46650, 4 
S, 2, 1615883012, 736212, 9
R, 3, 1615883012 , 754259, 4 
S, 3, 1615883013, 486684, 9
R, 4, 1615883013 , 504354, 4 
S, 4, 1615883014, 237053, 9
R, 5, 1615883014 , 296332, 4 
S, 5, 1615883014, 987480, 9
R, 6, 1615883015 , 6228, 4 
S, 6, 1615883015, 737907, 9
R, 7, 1615883015 , 756404, 4 
S, 7, 1615883016, 488273, 9
R, 8, 1615883016 , 547617, 4 
S, 8, 1615883017, 238693, 9
R, 9, 1615883017 , 256837, 4 
S, 9, 1615883017, 989117, 9
R, 10, 1615883018 , 8136, 4 
S, 10, 1615883018, 739549, 9
R, 11, 1615883018 , 800134, 4 
S, 11, 1615883019, 489938, 9
R, 12, 1615883019 , 509144, 4 
S, 12, 1615883020, 240355, 9
R, 13, 1615883020 , 257186, 4 
S, 13, 1615883020, 990740, 9
R, 14, 1615883021 , 46562, 4 
S, 14, 1615883021, 741113, 9
R, 15, 1615883021 , 757676, 4 
S, 15, 1615883022, 491518, 9
R, 16, 1615883022 , 508741, 4 
S, 16, 1615883023, 241938, 9
R, 17, 1615883023 , 299012, 4 
S, 17, 1615883023, 992328, 9
R, 18, 1615883024 , 9972, 4 
S, 18, 1615883024, 742784, 9
R, 19, 1615883024 , 761170, 4 
S, 19, 1615883025, 493165, 9
R, 20, 1615883025 , 550452, 4 
S, 20, 1615883026, 243540, 9
R, 21, 1615883026 , 261475, 4 
S, 21, 1615883026, 994000, 9
R, 22, 1615883027 , 11443, 4 
S, 22, 1615883027, 744380, 9
R, 23, 1615883027 , 802477, 4 
S, 23, 1615883028, 494793, 9
R, 24, 1615883028 , 511774, 4 
S, 24, 1615883029, 245254, 9
R, 25, 1615883029 , 263551, 4 
S, 25, 1615883029, 995672, 9
R, 26, 1615883030 , 54338, 4 
S, 26, 1615883030, 746056, 9
R, 27, 1615883030 , 764091, 4 
S, 27, 1615883031, 496467, 9
R, 28, 1615883031 , 514779, 4 
S, 28, 1615883032, 246845, 9
R, 29, 1615883032 , 306380, 4 
S, 29, 1615883032, 997227, 9
R, 30, 1615883033 , 15210, 4 
S, 30, 1615883033, 747705, 9
R, 31, 1615883033 , 764885, 4 
S, 31, 1615883034, 498119, 9
R, 32, 1615883034 , 558779, 4 
S, 32, 1615883035, 248505, 9
R, 33, 1615883035 , 265487, 4 
S, 33, 1615883035, 998928, 9
R, 34, 1615883036 , 16320, 4 
S, 34, 1615883036, 749338, 9
R, 35, 1615883036 , 811212, 4 
S, 35, 1615883037, 499725, 9
R, 36, 1615883037 , 517939, 4 
S, 36, 1615883038, 250183, 9
R, 37, 1615883038 , 267731, 4 
S, 37, 1615883039, 581, 9
R, 38, 1615883039 , 58636, 4 
S, 38, 1615883039, 751007, 9
R, 39, 1615883039 , 768315, 4 
S, 39, 1615883040, 501441, 9
R, 40, 1615883040 , 519767, 4 
S, 40, 1615883041, 251825, 9
R, 41, 1615883041 , 311394, 4 
S, 41, 1615883042, 2281, 9
R, 42, 1615883042 , 21651, 4 
S, 42, 1615883042, 752726, 9
R, 43, 1615883042 , 771292, 4 
S, 43, 1615883043, 503116, 9
R, 44, 1615883043 , 567309, 4 
S, 44, 1615883044, 253513, 9
R, 45, 1615883044 , 271721, 4 
S, 45, 1615883045, 4027, 9
R, 46, 1615883045 , 22137, 4 
S, 46, 1615883045, 754413, 9
R, 47, 1615883045 , 814874, 4 
S, 47, 1615883046, 504816, 9
R, 48, 1615883046 , 523230, 4 
S, 48, 1615883047, 255236, 9
R, 49, 1615883047 , 273536, 4 
S, 49, 1615883048, 5632, 9
R, 50, 1615883048 , 67650, 4 
S, 50, 1615883048, 756062, 9
R, 51, 1615883048 , 775294, 4 
S, 51, 1615883049, 506488, 9
R, 52, 1615883049 , 525604, 4 
S, 52, 1615883050, 256913, 9
