Type, Id paq, time stamp segundos, micro, long paq 
S, 0, 1615875913, 980424, 10
R, 1, 1615875914 , 2082, 4 
S, 1, 1615875914, 531001, 10
R, 2, 1615875914 , 589521, 4 
S, 2, 1615875915, 81404, 10
R, 3, 1615875915 , 100996, 4 
S, 3, 1615875915, 631790, 10
R, 4, 1615875915 , 652430, 4 
S, 4, 1615875916, 182160, 10
R, 5, 1615875916 , 241978, 4 
S, 5, 1615875916, 732523, 10
R, 6, 1615875916 , 752169, 4 
S, 6, 1615875917, 282919, 10
R, 7, 1615875917 , 302337, 4 
S, 7, 1615875917, 833282, 10
R, 8, 1615875917 , 897950, 4 
S, 8, 1615875918, 383722, 10
R, 9, 1615875918 , 402821, 4 
S, 9, 1615875918, 934137, 10
R, 10, 1615875918 , 954246, 4 
S, 10, 1615875919, 484847, 10
R, 11, 1615875919 , 545732, 4 
S, 11, 1615875920, 35220, 10
R, 12, 1615875920 , 54586, 4 
S, 12, 1615875920, 585647, 10
R, 13, 1615875920 , 605381, 4 
S, 13, 1615875921, 136006, 10
R, 14, 1615875921 , 198712, 4 
S, 14, 1615875921, 686381, 10
R, 15, 1615875921 , 706333, 4 
S, 15, 1615875922, 236786, 10
R, 16, 1615875922 , 257096, 4 
S, 16, 1615875922, 787166, 10
R, 17, 1615875922 , 853438, 4 
S, 17, 1615875923, 337590, 10
R, 18, 1615875923 , 356458, 4 
S, 18, 1615875923, 888023, 10
R, 19, 1615875923 , 907376, 4 
S, 19, 1615875924, 438448, 10
R, 20, 1615875924 , 497528, 4 
S, 20, 1615875924, 988834, 10
R, 21, 1615875925 , 7675, 4 
S, 21, 1615875925, 539281, 10
R, 22, 1615875925 , 559055, 4 
S, 22, 1615875926, 89657, 10
R, 23, 1615875926 , 153740, 4 
S, 23, 1615875926, 640044, 10
R, 24, 1615875926 , 660037, 4 
S, 24, 1615875927, 190579, 10
R, 25, 1615875927 , 210198, 4 
S, 25, 1615875927, 740949, 10
R, 26, 1615875927 , 805638, 4 
S, 26, 1615875928, 291378, 10
R, 27, 1615875928 , 310682, 4 
S, 27, 1615875928, 841818, 10
R, 28, 1615875928 , 861446, 4 
S, 28, 1615875929, 392503, 10
R, 29, 1615875929 , 453506, 4 
S, 29, 1615875929, 942884, 10
R, 30, 1615875929 , 962983, 4 
S, 30, 1615875930, 493283, 10
R, 31, 1615875930 , 513151, 4 
S, 31, 1615875931, 43654, 10
R, 32, 1615875931 , 105870, 4 
S, 32, 1615875931, 594207, 10
R, 33, 1615875931 , 613429, 4 
S, 33, 1615875932, 144611, 10
R, 34, 1615875932 , 164859, 4 
S, 34, 1615875932, 694992, 10
R, 35, 1615875932 , 758404, 4 
S, 35, 1615875933, 245599, 10
R, 36, 1615875933 , 265875, 4 
S, 36, 1615875933, 796009, 10
R, 37, 1615875933 , 816052, 4 
S, 37, 1615875934, 346677, 10
R, 38, 1615875934 , 406182, 4 
S, 38, 1615875934, 897055, 10
R, 39, 1615875934 , 916336, 4 
S, 39, 1615875935, 447450, 10
